,Dry,Sensitive,Acne-prone,Oily,Combination,Normal
The Ordinary,12,6,1,1,1,4
CeraVe,13,13,6,6,6,0
AMELIORATE,5,5,0,0,0,0
Clinique,38,3,12,11,10,6
First Aid Beauty,13,6,2,3,3,1
Avène,9,0,0,1,1,2
Weleda,10,0,0,2,2,4
Neutrogena,13,0,5,4,4,0
Egyptian Magic,2,0,0,0,0,0
JASON,6,5,0,0,0,1
Embryolisse,2,0,0,0,0,2
La Roche-Posay,33,7,16,22,18,0
Bulldog,17,0,1,0,0,0
Avene,5,0,2,1,1,2
Estée Lauder,20,0,7,4,3,1
The Chemistry Brand,3,0,0,0,0,0
Elemis,27,3,2,2,2,0
The INKEY List,7,0,0,0,0,0
Origins,12,1,2,3,3,0
Elizabeth Arden,16,7,7,4,3,2
Skin Doctors,2,0,1,0,0,0
PRAI,1,0,0,0,0,0
Mama Mio,6,0,0,0,0,0
Caudalie,19,1,1,1,1,2
L'Oréal,28,4,5,8,8,0
Antipodes,6,0,0,1,1,0
Dr.Jart+,2,2,1,1,1,0
Erno Laszlo,6,1,2,2,2,0
Fade Out,4,3,4,4,4,0
NIOD,5,0,0,0,0,0
Murad,12,6,5,8,7,0
DECLÉOR,23,1,6,6,6,0
COSRX,5,4,3,3,3,0
REN,30,9,3,3,3,4
Eucerin,2,0,2,0,0,0
Sukin,16,0,0,0,0,0
Alpha-H,2,2,1,0,0,0
Pai,14,1,1,1,1,0
Neal's Yard Remedies,9,1,0,0,0,0
Bioderma,5,0,5,4,3,0
Medik8,6,1,2,2,2,3
VICHY,7,0,2,2,1,0
PIXI,28,14,4,4,4,0
NIP+FAB,12,7,5,5,5,0
By,3,0,2,0,0,0
Tan-Luxe,1,0,0,0,0,0
Lancôme,16,1,3,3,3,1
Sanctuary Spa,16,2,4,0,0,1
bareMinerals,6,0,1,1,1,0
Peter Thomas Roth,8,4,2,2,2,2
OSKIA,5,2,0,2,2,0
Holika Holika,22,16,5,6,6,0
Dermalogica,8,2,2,2,2,0
Dr. Hauschka,1,0,0,0,0,0
SkinCeuticals,3,1,1,1,1,0
Aurelia,3,0,1,1,1,0
Gallinée,5,1,0,1,1,0
Darphin,8,2,1,1,1,0
Zelens,5,0,0,1,1,0
Dr,4,1,1,1,1,0
GLAMGLOW,4,0,4,5,4,0
Too Faced,1,1,0,0,0,0
Liz Earle,8,5,0,0,0,0
Indeed Labs,5,1,0,0,0,1
Natio,11,1,0,0,0,0
The Organic Pharmacy,2,0,0,0,0,1
Chantecaille,5,2,0,0,0,0
Omorovicza,7,0,0,1,1,0
FOREO,3,3,0,0,0,0
Sarah,4,4,0,0,0,0
Green,1,0,1,1,1,0
DHC,7,1,0,0,0,1
NUXE,11,4,1,0,0,0
Face,1,0,0,0,0,0
Bondi,5,0,2,0,0,0
TanOrganic,1,0,0,0,0,0
Trilogy,4,0,0,0,0,0
BBB,2,2,0,0,0,1
L’Oréal,1,0,0,0,0,0
Freezeframe,1,0,0,0,0,0
MONU,1,1,0,0,0,1
Balance,3,0,0,0,0,1
AromaWorks,2,0,0,0,0,0
Rodial,4,3,2,2,2,1
Garnier,27,0,16,12,10,0
Moroccanoil,1,0,0,0,0,0
LIXIRSKIN,1,1,0,0,0,0
Manuka,5,0,0,0,0,0
Bobbi Brown,4,0,0,0,0,0
Lumene,6,2,0,0,0,0
Revolution,5,0,0,0,0,0
Crystal,1,0,0,0,0,0
Institut,0,0,0,0,0,1
Jurlique,5,0,0,0,0,1
A'kin,2,0,0,0,0,0
Aveda,0,0,0,0,0,1
ULTRASUN,1,0,1,0,0,0
Salcura,2,0,0,2,2,0
Sea,1,0,1,0,0,5
Pestle,1,0,0,0,0,0
Bloom,1,1,0,0,0,3
Emma,3,1,0,0,0,0
Piz,1,0,0,0,0,0
Eve,5,0,0,2,2,0
James,1,0,0,0,0,0
ARK,1,1,0,0,0,0
Natura,4,2,1,1,1,0
Laura,4,2,0,0,0,0
Mauli,0,0,0,0,0,2
Avant,3,2,0,1,1,0
Löwengrip,2,2,2,2,2,0
Armani,1,0,0,0,0,0
The,4,1,0,0,0,0
Acorelle,1,0,0,0,0,0
Burt's,7,0,0,0,0,0
Dr.,4,1,0,0,0,0
Lanolips,1,0,1,0,0,2
Maybelline,0,1,0,0,0,0
yes,2,0,0,0,0,0
Frank,7,0,0,1,1,2
Rituals,8,2,0,2,2,0
Spa,3,0,0,0,0,0
Uriage,1,0,0,0,0,0
benefit,2,0,0,0,0,1
Oh,5,4,2,3,3,0
Menaji,1,0,0,0,0,0
MONUPLUS,1,0,0,0,0,0
Alchimie,1,0,0,0,0,0
APIVITA,15,13,0,1,1,0
Benton,2,1,0,0,0,0
Ambre,1,0,0,0,0,0
NARS,1,0,0,0,0,0
BeautyPro,3,1,0,0,0,2
AHAVA,8,7,3,5,5,2
"Dear,",2,2,0,0,0,0
Aesop,5,2,0,0,0,0
BARBER,2,0,0,0,0,0
MAGICSTRIPES,2,0,0,0,0,0
Filorga,2,0,2,2,1,0
Shiseido,2,0,0,0,0,0
Project,1,1,0,0,0,0
Lancer,1,1,0,0,0,0
Radical,2,2,2,2,2,0
Polaar,2,1,0,0,0,0
VERSO,1,0,1,1,1,0
Mavala,3,2,0,0,0,0
Goldfaden,1,0,0,0,0,1
Comfort,2,1,1,1,1,0
Recipe,1,0,0,0,0,0
Instant,1,0,0,0,0,0
SVR,3,0,0,0,0,0
Ultrasun,1,1,0,1,1,0
KLORANE,0,0,0,0,0,1
RapidEye,1,1,0,0,0,0
Perricone,2,0,0,2,2,0
MAC,2,1,0,0,0,0
FARMACY,1,0,0,0,0,0
philosophy,3,0,0,0,0,0
ESPA,3,0,0,0,0,0
MÁDARA,2,0,1,1,1,0
StriVectin,1,0,1,1,1,0
NYX,1,0,0,0,0,0
ilapothecary,3,0,0,0,0,0
Talika,1,0,0,0,0,0
Westlab,7,0,0,0,0,9
Bubble,5,0,0,0,0,5
Ortigia,0,0,0,0,0,1
Cowshed,2,0,0,0,0,0
L:A,3,0,0,0,0,2
ila-spa,1,0,0,0,0,0
Molton,18,0,15,1,1,0
Jo,4,0,0,0,0,3
Aveeno,6,1,0,0,0,0
Shea,4,1,0,1,1,0
ManCave,3,1,0,0,0,0
NEOM,1,0,0,0,0,0
Sol,2,0,0,0,0,0
Aromatherapy,12,1,0,0,0,0
Australian,1,0,0,0,0,0
OUAI,1,0,0,0,0,0
Elemental,1,0,0,0,0,0
this,1,1,0,0,0,0
Neom,1,0,0,0,0,0
Little,1,0,0,0,0,0
Love,1,0,0,0,0,0
Connock,1,0,0,0,0,0
